"category","sub_category","Measure Names","segment","region","ship_mode","Measure Values"
"Furniture","Bookcases","discount","Consumer","Central","First Class",1.8599999999999999
"Furniture","Bookcases","number_of_records","Consumer","Central","First Class",7
"Furniture","Bookcases","profit","Consumer","Central","First Class",-245
"Furniture","Bookcases","profit_ratio","Consumer","Central","First Class",-0.8900000000000001
"Furniture","Bookcases","quantity","Consumer","Central","First Class",25
"Furniture","Bookcases","sales","Consumer","Central","First Class",2249
"Furniture","Bookcases","discount","Consumer","Central","Second Class",0.96
"Furniture","Bookcases","number_of_records","Consumer","Central","Second Class",3
"Furniture","Bookcases","profit","Consumer","Central","Second Class",-761
"Furniture","Bookcases","profit_ratio","Consumer","Central","Second Class",-0.48
"Furniture","Bookcases","quantity","Consumer","Central","Second Class",14
"Furniture","Bookcases","sales","Consumer","Central","Second Class",3953
"Furniture","Bookcases","discount","Consumer","Central","Standard Class",3.44
"Furniture","Bookcases","number_of_records","Consumer","Central","Standard Class",14
"Furniture","Bookcases","profit","Consumer","Central","Standard Class",-491
"Furniture","Bookcases","profit_ratio","Consumer","Central","Standard Class",-1.1
"Furniture","Bookcases","quantity","Consumer","Central","Standard Class",56
"Furniture","Bookcases","sales","Consumer","Central","Standard Class",6757
"Furniture","Bookcases","discount","Consumer","East","First Class",1.8
"Furniture","Bookcases","number_of_records","Consumer","East","First Class",7
"Furniture","Bookcases","profit","Consumer","East","First Class",-285
"Furniture","Bookcases","profit_ratio","Consumer","East","First Class",-1.25
"Furniture","Bookcases","quantity","Consumer","East","First Class",20
"Furniture","Bookcases","sales","Consumer","East","First Class",2513
"Furniture","Bookcases","discount","Consumer","East","Same Day",0.2
"Furniture","Bookcases","number_of_records","Consumer","East","Same Day",1
"Furniture","Bookcases","profit","Consumer","East","Same Day",5
"Furniture","Bookcases","profit_ratio","Consumer","East","Same Day",0.04
"Furniture","Bookcases","quantity","Consumer","East","Same Day",1
"Furniture","Bookcases","sales","Consumer","East","Same Day",137
"Furniture","Bookcases","discount","Consumer","East","Second Class",1.9
"Furniture","Bookcases","number_of_records","Consumer","East","Second Class",7
"Furniture","Bookcases","profit","Consumer","East","Second Class",-154
"Furniture","Bookcases","profit_ratio","Consumer","East","Second Class",-1.3900000000000001
"Furniture","Bookcases","quantity","Consumer","East","Second Class",21
"Furniture","Bookcases","sales","Consumer","East","Second Class",2937
"Furniture","Bookcases","discount","Consumer","East","Standard Class",5.2
"Furniture","Bookcases","number_of_records","Consumer","East","Standard Class",24
"Furniture","Bookcases","profit","Consumer","East","Standard Class",-1757
"Furniture","Bookcases","profit_ratio","Consumer","East","Standard Class",-1.9300000000000002
"Furniture","Bookcases","quantity","Consumer","East","Standard Class",98
"Furniture","Bookcases","sales","Consumer","East","Standard Class",21721
"Furniture","Bookcases","discount","Consumer","South","First Class",0.2
"Furniture","Bookcases","number_of_records","Consumer","South","First Class",5
"Furniture","Bookcases","profit","Consumer","South","First Class",312
"Furniture","Bookcases","profit_ratio","Consumer","South","First Class",0.7999999999999999
"Furniture","Bookcases","quantity","Consumer","South","First Class",22
"Furniture","Bookcases","sales","Consumer","South","First Class",1794
"Furniture","Bookcases","discount","Consumer","South","Second Class",0.2
"Furniture","Bookcases","number_of_records","Consumer","South","Second Class",4
"Furniture","Bookcases","profit","Consumer","South","Second Class",348
"Furniture","Bookcases","profit_ratio","Consumer","South","Second Class",0.5
"Furniture","Bookcases","quantity","Consumer","South","Second Class",16
"Furniture","Bookcases","sales","Consumer","South","Second Class",1830
"Furniture","Bookcases","discount","Consumer","South","Standard Class",1.2000000000000002
"Furniture","Bookcases","number_of_records","Consumer","South","Standard Class",10
"Furniture","Bookcases","profit","Consumer","South","Standard Class",560
"Furniture","Bookcases","profit_ratio","Consumer","South","Standard Class",0.57
"Furniture","Bookcases","quantity","Consumer","South","Standard Class",47
"Furniture","Bookcases","sales","Consumer","South","Standard Class",5093
"Furniture","Bookcases","discount","Consumer","West","First Class",1.8499999999999999
"Furniture","Bookcases","number_of_records","Consumer","West","First Class",7
"Furniture","Bookcases","profit","Consumer","West","First Class",-153
"Furniture","Bookcases","profit_ratio","Consumer","West","First Class",-2.75
"Furniture","Bookcases","quantity","Consumer","West","First Class",21
"Furniture","Bookcases","sales","Consumer","West","First Class",2423
"Furniture","Bookcases","discount","Consumer","West","Same Day",0.15
"Furniture","Bookcases","number_of_records","Consumer","West","Same Day",1
"Furniture","Bookcases","profit","Consumer","West","Same Day",20
"Furniture","Bookcases","profit_ratio","Consumer","West","Same Day",0.05
"Furniture","Bookcases","quantity","Consumer","West","Same Day",1
"Furniture","Bookcases","sales","Consumer","West","Same Day",426
"Furniture","Bookcases","discount","Consumer","West","Second Class",3.15
"Furniture","Bookcases","number_of_records","Consumer","West","Second Class",13
"Furniture","Bookcases","profit","Consumer","West","Second Class",-391
"Furniture","Bookcases","profit_ratio","Consumer","West","Second Class",-4.0200000000000005
"Furniture","Bookcases","quantity","Consumer","West","Second Class",42
